"NoDemandeService";"NoMembre";"NoAccorderie";"TitreDemande";"Description";"Approuve";"Supprimer";"Transmit";"DateDebut";"DateFin"
"1778";"4657";"112";"Travaux de peinture";"Notre nouveau local aurait besoin d'un rafraichissement. J'aimerais avoir de l'aide mercredi à compter de 10 h pour le peinturer";"-1";"-1";"0";"2015-06-29";"2015-07-02"
"1779";"3876";"108";"Lavage de vitres ";"Bonjour, j'aurais besoin de quelqu'un pour laver les vitres (intérieur/extérieur) de ma maison au Bic (temps estimé : environ 3hres.";"-1";"0";"0";"2016-08-08";"2016-09-30"
"1780";"3876";"108";"Entretien plates-bandes et arbustes ornementaux";"Bonjour, je cherche une personne pour faire l'entretien des plates-bandes et arbustes ornementaux de ma maison au Bic (selon vos compétences ou intérêt : identification des plantes et arbustes, désherbage et taille des arbustes). Merci!";"-1";"0";"0";"2015-06-29";"2015-09-30"
"1781";"3876";"108";"Peinture extérieure";"Bonjour, je suis à la recherche de personnes intéressées à réaliser différents travaux de peinture extérieure (balcon, cabanon, bordures de fenêtre, etc.). Il y a plusieurs choses à faire, mais sentez-vous à l'aise de proposer le temps qui vous convient.";"-1";"0";"0";"2015-06-29";"2015-09-30"
"1782";"6645";"2";"Yoga des yeux ou...";"Si vous savez comment retarder la nécessité d'utiliser des lunettes, s.v.p. contactez moi pour me faire connaitre votre truc! Merci!";"-1";"-1";"0";"2015-06-29";"2015-09-15"
"1783";"6584";"115";"cours de cuisine de base pour enfant de 8 a11 ans";"comment faire sois même une soupe une vinaigrette une mayonnaise une tarte   ";"0";"-1";"0";"2015-06-30";"2015-09-15"
"1784";"5164";"114";"Besoin d'un gâteau!";"Qui sait faire une charlotte et serait disponible pour cuisiner et préparer ça pour samedi le 11 juillet? Ce serait pour une dizaine de personnes.";"-1";"0";"0";"2015-07-02";"2015-07-11"
"1785";"5359";"111";"Toiture ";"Urgent. Besoin de quelqu'un qui possède une grande échelle et qui pourrait aller sur le toit de notre maison. Nous avons  des fuites !!! L'eau entre. Imaginez vous que l'ancien proprio à clouté les bardeaux !! l'eau s'infiltre causant des dommages. Merci ";"-1";"-1";"0";"2015-07-03";"2015-07-11"
"1786";"2669";"2";"Modélisation 3D";"Bonjour! Je cherche une expertise en modélisation 3D (idéalement sur logiciel 123D) pour un plan que je possède actuellement en 2D. Merci!";"-1";"-1";"0";"2015-07-25";"2015-12-01"
"1787";"2669";"2";"Impression 3D";"Bonjour! Je cherche une personne en mesure de réaliser de l'impression 3D.
Merci et bonne journée!";"-1";"-1";"0";"2015-07-03";"2015-12-01"
"1788";"5526";"109";"Coupe de cheveux";"Besoin de coupe de cheveux. Dame accordeur.";"-1";"-1";"0";"2015-07-04";"2016-06-28"
"1789";"5526";"109";"Coupe de cheveux";"Coupe de cheveux";"0";"-1";"0";"2015-07-04";"2016-07-04"
"1790";"6506";"109";"peinture et  menus travaux ";"besoin d' une personne pour peinturer une petite salle de bain et petit passage et poser  tablettes et trucs divers  merci ";"-1";"-1";"0";"2015-07-05";"2015-07-31"
"1791";"2490";"86";"Tireur de joints";"Tireur de joints recherché :)";"-1";"-1";"0";"2015-07-07";"2015-07-31"
"1792";"4514";"109";"Ménage auto";"Je serais ravi si quelqu'un voulait bien faire le ménage intérieur de mon auto.";"-1";"-1";"0";"2015-07-07";"2015-10-15"
"1793";"6695";"108";"Yogisme";"J'aimerais trouvé un yogi qui m'apprendrait le mode de vie sain du yoga, en plus d'en apprendre davantage sur la culture hindouiste.";"-1";"0";"0";"2015-07-07";"2015-09-30"
"1794";"6695";"108";"Quiero aprender español";"J'aimerais apprendre davantage l'espagnol (conversation principalement) pour être en mesure de partir en Amérique du sud avec mon backpack et me débrouiller sur la route.";"-1";"0";"0";"2015-07-07";"2015-09-30"
"1795";"6695";"108";"Approfondissement en danse";"Cours intermédiaire-avancé de Salsa / Bachata ou cours débutant-intermédiaire de Lindie Hop";"-1";"0";"0";"2015-07-07";"2015-09-30"
"1796";"6695";"108";"Maquillage pour séance photo";"Je suis à la recherche de personne qui pourraient faire du maquillage pour des séances photos (offres ponctuelles). ";"-1";"0";"0";"2015-07-07";"2015-09-30"
"1797";"5376";"2";"Gros pot de jardinage";"Bonjour, je cherche un gros pot de jardinage pour planter ma rhubarbe. Si vous en avez un dont vous ne vous servez plus et qui traîne dans votre garage, je pense qu'on a un deal intéressant. Merci de votre générosité.";"-1";"-1";"0";"2015-07-08";"2015-08-08"
"1798";"6499";"117";"menuisier ou bricoleur";"installer des tablettes à l'intérieur d'une garde-robes. La plupart des planches sont déjà coupée. Il vous faut seulement une scie ronde pour les ajustement et un tournevis. IL y en pour quelques heures Merci de me dépanner. ";"-1";"-1";"0";"2015-07-08";"2015-07-26"
"1799";"6499";"117";"PLombier ou se débrouille en plomberie";"J'ai un robinet et un contour de lavabo à faire installer . Il faudra soulever le lavabo pour mettre le contour. Merci beaucoup";"-1";"-1";"0";"2015-07-08";"2015-07-26"
"1800";"1892";"104";"poser un air climatisé  dans une fenêtre ";"Bonjour besoin de qqun pour poser mon air climatisé";"-1";"-1";"0";"2015-07-09";"2015-07-11"
"1801";"6639";"2";"Aide-jardinier d'expérience";"Aide-jardinier à 45 km de Québec, au Petit cap, St-Joachim. Binage, arrosage, cueillette, entretien du petit potager et des arbustes fruitiers, repas et couchers fournis. Véhicule nécessaire.";"-1";"-1";"0";"2015-07-13";"2015-07-29"
"1802";"4421";"109";"réparation four";"2 ronds sur 4 ne fonctionnent plus sur mon four (cuisinière électrique)";"-1";"-1";"0";"2015-07-13";"2015-09-13"
"1803";"6317";"2";"Installer ventilateur plafonnier 42in";"Enlever le vieux, expérience  électronique ";"-1";"-1";"0";"2015-07-13";"2016-07-13"
"1804";"6317";"2";"Installer ventilateur plafonnier 42 ";"Enlever le vieux et mettre le neuf.expérience en électricité ";"-1";"-1";"0";"2015-07-13";"2016-07-13"
"1805";"5479";"115";"teinture de patio";"Le supposément magique Deck Over n'a pas tenu sur mon patio... on doit gratter, préparer la surface et recommencer... quelqu'un  a plus d'énergie que moi pour ça?";"-1";"-1";"0";"2015-07-13";"2015-10-31"
"1806";"3563";"92";"tailler haie";"J'aimerais savoir si quelqu'un pourrait me prêter un taille-haie électrique ou si quelqu'un peut me couper une petite haie. Cela ne devrait pas prendre plus qu'une demie heure. C'est à Shawinigan, Av Champlain. Merci";"0";"-1";"0";"2015-07-14";"2015-08-31"
"1807";"3563";"92";"tailler haie";"J'aimerais savoir si quelqu'un pourrait me prêter un taille-haie électrique ou si quelqu'un peut me couper une petite haie. Cela ne devrait pas prendre plus qu'une demie heure. C'est à Shawinigan, Av Champlain. Merci";"-1";"0";"0";"2015-07-14";"2015-08-31"
"1808";"6037";"114";"recherche compositeur parolier ";"Projet artistique multiculturel
(Chanson)";"-1";"-1";"0";"2015-07-14";"2015-12-31"
"1809";"6037";"114";"recherche compositeur parolier ";"Projet artistique multiculturel
(Chanson)";"-1";"-1";"0";"2015-07-14";"2015-12-31"
"1810";"6037";"114";"recherche musiciens pour projet multiculturel";"Une chanson à enregistrer ";"-1";"-1";"0";"2015-07-14";"2015-12-31"
"1811";"6037";"114";"studio enregistrement";"Pour une chanson. Projet multiculturel";"-1";"-1";"0";"2015-07-14";"2015-12-31"
"1812";"6037";"114";"musiciens orientaux et musiciens latino ";"Pour projet multiculturel.";"-1";"-1";"0";"2015-07-15";"2015-12-31"
"1813";"6037";"114";"recherche musiciens orientaux  pour projet multiculturel";"Musiciens orientaux pour chanson ";"-1";"-1";"0";"2015-07-15";"2015-12-31"
"1814";"6037";"114";"artistes et figurants pour clip et chanson";"Projet multiculturel . possibilité spectacles ";"-1";"-1";"0";"2015-07-15";"2015-12-31"
"1815";"6734";"86";"Accompagnement sortie culturelle!";"Mardi 21 juillet sortie au cinéma du Carrefour Trois-Rivières-Ouest?";"-1";"-1";"0";"2015-07-16";"2015-07-22"
"1816";"1892";"104";"session de massage  ";"suite  a votre atelier de massage du 16 juillet aimerait bien savoir si possible des sessions de massage pendant tout l'été  merci pour plus d 'informations a ce sujet  temps lieu $ ";"-1";"-1";"0";"2015-07-17";"2015-07-31"
"1817";"6695";"108";"Théologie et religons";"Je me pose beaucoup de questions sur les différences entre les différentes religions ou branches du christianisme et ce qui a amené à avoir tant de branches au fil des années. 

Je pose un point de vue extérieur,  neutre et historique le sujet.";"-1";"0";"0";"2015-07-20";"2015-09-30"
"1818";"6655";"86";"Entretien d'une plate-bande";"Entretenir/embellir une grande plate-bande (secteur galleries du cap)";"-1";"-1";"0";"2015-07-20";"2015-09-30"
"1819";"6669";"114";"petit camion ou camionnette";"pour déménagement de 20 boîtes environ";"-1";"-1";"0";"2015-07-20";"2015-07-27"
"1820";"6669";"114";"petit camion ou camionnette pour déménagement";"pour 20 boîtes environ";"-1";"-1";"0";"2015-07-20";"2015-07-27"
"1821";"6669";"114";"petit camion ou camionnette pour déménagement";"pour 10 boîtes environ";"0";"-1";"0";"2015-07-30";"2015-07-30"
"1822";"6752";"112";"Formation en informatique";"Utilisation de logiciels et du courriel";"-1";"-1";"0";"2015-07-22";"2016-07-22"
"1823";"4657";"112";"Aide pour petits travaux";"Entretien ménager";"-1";"-1";"0";"2015-07-22";"2016-07-22"
"1824";"6751";"112";"Aide pour petits travaux";"Entretien ménager";"-1";"-1";"0";"2015-07-22";"2016-07-22"
"1825";"6751";"112";"Travaux d'excavation";"Installation d'un drain";"-1";"-1";"0";"2015-07-22";"2016-07-22"
"1826";"6751";"112";"Aide à l'informatique";"Installation de logiciels";"-1";"-1";"0";"2015-07-22";"2016-07-22"
"1827";"6750";"112";"Aide à la rénovation";"Plomberie, menuiserie ";"-1";"-1";"0";"2015-07-22";"2016-07-22"
"1828";"6750";"112";"Aide à l'entretien extérieur";"Pelouse, déneigement";"-1";"-1";"0";"2015-07-22";"2016-07-22"
"1829";"6750";"112";"Aide à l'entretien domestique";"Travaux ménagers";"-1";"-1";"0";"2015-07-22";"2016-07-22"
"1830";"6240";"2";"partenaire  de  danse  sociale";"moi  dans  le  passé j ai  suivie  des  cours  de  danse  sociale  a  l école  jacque  duval  4  ans  de  cour  des  années  sans  pratique  j ai  beaucoup  perdu  cette  automne j aimerais  avoir  une  partenaire fiable il  faut  aussi  pratiqué  voir fi";"-1";"-1";"0";"2015-07-22";"2015-11-20"
"1831";"6240";"2";"partenaire pour faire  du  vélo  petite distance";"un  ou  une  amie  pour  faire du  vélo  j aimerais  bien  des  petites  distance  pas  vite";"-1";"-1";"0";"2015-07-22";"2015-09-20"
"1832";"6756";"109";"Massothérapie - dos";"Je cherche quelqu'une pour de la massothérapie occasionnelle qui est à l'aide avec la fibromyalgie. Contactez-moi pour qu'on puisse en discuter davantage, merci!";"-1";"-1";"0";"2015-07-23";"2015-12-31"
"1833";"6756";"109";"Recherche personne pour faire de la danse intégrée";"Je recherche une ou des personnes qui aimeraient réfléchir (et démarrer) un groupe de danse contemporaine pour les personnes avec des limitations fonctionnelles/handicaps, soit la danse intégrée. Voir Corpuscule Danse à Montréal pour une idée plus claire.";"-1";"-1";"0";"2015-08-04";"2015-12-31"
"1834";"1892";"104";"poser un air  climatisé";"installation d air climatisée dans fenêtre  tout le matériel disponible . et Prêt à l'emploi
merci . JM ";"-1";"-1";"0";"2015-09-15";"2015-09-30"
"1835";"2669";"2";"Secrétariat/administration";"Bonjour! Je suis à la recherche d'une aide pour des tâches administratives simples comme : identification d'un accordeur-eues disponible pour des projets, prise de rendez-vous, communications courriels et téléphoniques, recherches d'informations, etc. ";"-1";"-1";"0";"2015-07-25";"2015-12-01"
"1836";"6749";"104";"transport";"De Montréal-Nord a Hopital Maisonneuve-Rosemont.
Heure: 7 heure, AM.
Date: 3-08-15 et 4-08-15";"-1";"0";"0";"2015-07-27";"2015-08-03"
"1838";"6769";"109";"réparation de laveuse";"Laveuse frontale (pas électronique) qui coule";"-1";"-1";"0";"2015-07-29";"2015-08-15"
"1839";"2669";"2";"Service de nettoyage de pierres extérieures";"Bonjour! 
Je voudrais faire nettoyer les pierres noircies extérieures de ma maison.
Merci!
J. Cliche";"-1";"-1";"0";"2015-07-31";"2015-11-30"
"1840";"6511";"110";"petits travaux";"installer pôle à rideaux et petit store horizontal";"0";"-1";"0";"2015-08-01";"2015-08-10"
"1841";"6756";"109";"Aide pour l'achat d'une première maison";"Les étapes de l'achat, quoi évaluer, quelles questions poser, comment faire une offre, etc.";"0";"-1";"0";"2015-08-02";"2015-12-31"
"1842";"4882";"112";"dépannage mac ordinater";"J'ai de la difficulté à entrer sur internet et à retrouver le bon réseau avec câble et aussi sans fil avec mon tp-link. Aussi, j'aimerais apprendre davantage de trucs de fonctionnement sur mon Mac.";"-1";"-1";"0";"2015-08-03";"2015-08-19"
"1843";"4882";"112";"aide informatique";"sur un mac: ne veut plus entrer sur internet et pourtant le pc à côté rentre sans problème. Téléphonez-moi. 819-583-0838.";"-1";"-1";"0";"2015-08-03";"2015-08-19"
"1844";"1168";"109";"Aide entretien piscine";"Je suis à la recherche d'une personne qui s'y connait en piscine. J'ai besoin de trucs pour l'entretien hebdomadaire ET annuel.";"-1";"-1";"0";"2015-08-03";"2015-09-03"
"1845";"4868";"109";"Mise en forme de documents";"Mise en forme de documents Word ou PDF, création de formulaires PDF, etc.";"-1";"-1";"0";"2015-08-04";"2016-08-04"
"1846";"4882";"112";"Aide à l'informatique";"Besoin d'aide pour connecter un Apple au réseau Internet. 
Besoin aussi de quelques trucs pour l'Apple";"-1";"-1";"0";"2015-08-05";"2016-08-05"
"1847";"2669";"2";"Menu travail d'électricité";"Bonjour!
Je souhaite faire à corriger un circuit électrique d'éclairage extérieur qui aurait été mal installé. 
Merci!";"-1";"-1";"0";"2015-08-05";"2015-11-01"
"1848";"5360";"114";"Entrée de données";"- Recopier les résultats d'un questionnaire collectés 'à la main' dans la version informatique du questionnaire. 
- Entrer des adresse courriels dans une liste d'envoi";"-1";"0";"0";"2015-08-06";"2015-08-13"
"1849";"6784";"108";"Aide à la construction";"Nous avons avons besoin d'aide pour monter une remise";"-1";"0";"0";"2015-08-07";"2015-08-14"
"1850";"6794";"108";"Aide pour trier les articles dans les boîtes";"Regarder dans chaque boîte ce qui est bon à garder ou ce qu'il faut donner.
";"0";"-1";"0";"2016-10-24";"2016-12-31"
"1851";"6504";"112";"Covoiturage";"Je dois être à Montréal le 21 ou le 22 août,sinon à Sherbrooke
pour l'autobus vers Mtl.Je paye-
rai le coût de l'essence aller-
retour.
LouisGuillotte (819)554-8291
2872,rue Boutin et 10 ième Rang
Nantes;
Merci pour votre éventuelle colla
boration";"-1";"-1";"0";"2015-08-07";"2015-08-21"
"1852";"2669";"2";"Menu travail d'ébénisterie";"Bonjour! J'aimerais confier de menus travaux de finition de meubles/ébénisterie (table a café, et chaise). 
Merci!
J. Cliche";"-1";"-1";"0";"2015-08-09";"2015-12-25"
"1853";"4827";"112";"Réparation ordinateur";"Besoin d'aide pour réparer l'intérieur du trou a câble électrique la ou on rentre le fil électrique dans l'ordinateur portable. L'ordinateur ne reconnait pus la connexion électrique. Aide pour formater l'ordi également. URGENT.";"-1";"-1";"0";"2015-08-10";"2016-06-10"
"1854";"5098";"2";"Ponçage-préparation pour peinture de maison ";"Bonjour, je dois repeindre ma maison. Je cherche de l'aide pour le coté préparation soit ponçage puis nettoyage. ";"-1";"-1";"0";"2015-08-12";"2015-09-06"
"1855";"6746";"115";"Espagnol";"Conversation en espagnol";"0";"-1";"0";"2015-08-12";"2015-09-12"
"1856";"5654";"115";"transport de bois";"de Rougemont à chambly
2 cordes de bois sur palette
vous me contacter quand vous aurez un camion ou une remorque disponible";"-1";"-1";"0";"2015-08-12";"2015-08-12"
"1857";"2669";"2";"Mise page et montage d'un site web";"Bonjour!
Je cherche une personne habile dans la mise en page et le montage d'un site web Shopify.
Merci!
Jérôme";"-1";"-1";"0";"2015-08-13";"2015-12-01"
"1858";"6746";"115";"conversation espagnole";"Aide pour améliorer mon espagnol";"0";"-1";"0";"2015-08-14";"2015-09-17"
"1859";"2669";"2";"Nettoyage de meubles rembourrés";"Bonjour! J'aimerais faire nettoyer des fauteuils et causeuses, idéalement à l'aide d'un appareil à vapeur.
Merci!";"-1";"-1";"0";"2015-08-14";"2015-12-01"
"1860";"6740";"108";"coupe de cheveux";"Salut, je recherche une personne pour me couper les pointes de cheveux";"-1";"0";"0";"2015-08-17";"2015-08-28"
"1861";"5808";"112";"Ebéniste";"Faire un petit meuble sur mesure pour TV";"-1";"-1";"0";"2015-08-17";"2015-09-09"
"1862";"5771";"109";"Préparation à la peinture, murs";"Dans mon appartement, les murs présentent des endroit rugueux qu'il serait bon de sabler avant d'appliquer une nouvelle peinture. J'ai besoin d'aide pour mener à bien ce projet. Qui peut le faire?";"-1";"-1";"0";"2015-08-31";"2015-09-04"
"1863";"6227";"118";"conseil expert édition littéraire";"RECHERCHE CONSEIL D'EXPERT POUR EDITION LITTÉRAIRE, SURTOUT POUR L'ASPECT LÉGAL ET EXPERIENCE PARTAGÉE, MERCI";"-1";"0";"0";"2015-08-18";"2022-03-02"
"1864";"6322";"117";"corder du bois de chaffage";"Aide pour une corvée d'entrer du bois de chauffage au 119 Labrie Pointe-aux-Outardes samedi 22 aout selon la température
chantal 418-567-8149";"-1";"-1";"0";"2015-08-19";"2015-08-22"
"1865";"3827";"108";"Menuiserie";"Je viens de gratter ma petite galerie et il y a plein de pourriture. J'aurais besoin de quelqu'un pour la refaire. Elle mesure 4'x4' et a 5 marches. Modèle le plus simple possible. Merci.
";"-1";"-1";"0";"2015-08-19";"2015-09-01"
"1866";"6459";"104";"transport scolaire le matin";"Ma fille va dans une école à Anjou et doit faire plus d'une heure d'autobus le matin. Il serait préférable pour elle de pouvoir faire le trajet en voiture et partir plus tard le matin soit vers 7h15 pour se rendre au coin de Beaubien/ Galerie d'anjou.";"-1";"-1";"0";"2015-08-21";"2015-09-30"
"1867";"4515";"109";"DVD";"Je recherche quelqu'un qui pourrait brancher mon DVD avec ma télé. J'y arrive pas. ";"-1";"-1";"0";"2015-08-24";"2015-11-30"
"1868";"4515";"109";"DVD";"Je recherche quelqu'un qui pourrait brancher mon DVD avec ma télé";"-1";"-1";"0";"2015-08-24";"2015-11-24"
"1869";"6299";"109";"fabrication de carte de souhaits";"artisanal de toutes sortes

";"-1";"-1";"0";"2015-08-24";"2015-09-10"
"1870";"6404";"117";"Transport Baie-Comeau/Montréal";"Bonjour, nous sommes 2 personnes qui avons besoin d'un transport pour Baie-Comeau vers Montréal dans les semaines qui suivent. Si ça vous intéresse, contactez-moi !!! Merci";"-1";"-1";"0";"2015-08-25";"2015-09-07"
"1871";"6010";"86";"Transport demandé";"Trajet Trois-Rivières-Drummondville et/ou inversement pour le temps des fêtes... Pour 2 passagers dont mon fils de 5 ans. Merci

";"-1";"-1";"0";"2015-09-17";"2015-12-18"
"1872";"5886";"112";"Transport/Déménagement";"Aide pour un déménagement en septembre.
Recherche de bois de chauffage";"-1";"-1";"0";"2015-08-26";"2015-10-23"
"1873";"5083";"112";"Massothérapie et bien-être";"Voudrait recevoir un massage";"-1";"-1";"0";"2015-08-26";"2015-10-26"
"1874";"6833";"114";"examen de CEFRANC";"Besoin d'aide pour la préparation à l'examen de français pour enseignants ; texte argumentatif etc j'ai les documents préparatoires ";"-1";"0";"0";"2015-08-28";"2016-08-28"
"1875";"6833";"114";"accompagnement exercices marche le soir";"le soir j'aimerais avoir une personne qui fait la marche santé dans le quartier Rosemont 13e avenue une heure de marche";"-1";"0";"0";"2015-08-28";"2015-08-28"
"1876";"6833";"114";"aide recherche d'emploi";"je suis dans le domaine de l'éducation besoin d'aide et aussi refaire mon cv";"-1";"0";"0";"2015-08-28";"2015-09-28"
"1877";"6833";"114";"organiser ranger dans mon logement";"je suis bohème et j'ai tout mon logement mal organiser et le rangement est sens dessus dessous....besoin d'aide";"-1";"0";"0";"2015-08-28";"2015-08-28"
"1878";"6833";"114";"chanter l'opéra";"je rêve d'apprendre à chanter avec une voie de soprano...je suis débutante..";"-1";"0";"0";"2015-08-28";"2015-08-28"
"1879";"6833";"114";"estime de soi habiletés de mieux parler ";"améliorer ma façon de parler avec les gens pour qu'ils aient une meilleure opinion de moi, collègues de travail, famille amis etc.";"-1";"-1";"0";"2015-08-28";"2015-08-28"
"1880";"6833";"114";"couper les griffres de mon lapin";"je rate toujours cette opération alors le pauvre lapin en souffre à chaque fois, besoin d'aide...";"-1";"0";"0";"2015-08-28";"2015-09-28"
"1881";"6833";"114";"aider ma fille dyslexique de 10ans";"ma fille ne veut jamais faire la dictée ni se faire aider par moi, besoin d'une autre personne pour la faire réciter et écrire car elle écoute mieux les autres..";"-1";"-1";"0";"2015-08-28";"2015-08-28"
"1882";"6833";"114";"rallonger mes robes ";"coudre des bordures de dentelles etc pour rallonger mes robes trop courtes";"-1";"0";"0";"2015-08-28";"2015-08-28"
"1883";"6833";"114";"crudivorisme et végan";"je veux m'initier à la cuisine vegan et crue et la germination surtout aussi pour que ma fille de 10ans puisse aider les repas...
";"-1";"0";"0";"2015-08-28";"2015-09-28"
"1884";"6833";"114";"aider ma fille de 10ans dyslexique";"lui faire des dictées, récitations aide aux devoirs..";"-1";"0";"0";"2015-08-28";"2015-08-28"
"1885";"6759";"114";"entretient ménager";"Faire un p'tit ménage une fois par mois dans un studio.
Voir le studio pour déterminer les tàches au 3620 Fullum";"-1";"0";"0";"2017-06-04";"2018-05-30"
"1886";"4895";"86";"Aide en différentes langues parlées de rues ";"Comme écrivain, pour le roman que je suis en train d'écrire, je voudrais un paragraphe de différentes langues parlées sur la rue, lors d'une altercation par exemple.";"-1";"0";"0";"2015-08-28";"2015-10-15"
"1887";"3747";"108";"Peinture de Toit de grange .";"besoins de peintre pour le bas du toit + echafaux . Moi je M occupe du haut .";"-1";"0";"0";"2015-08-31";"2015-09-12"
"1888";"6127";"109";"location échafaudage ";"J'ai besoin de trois sections dechafauds pour deux a trois jours";"-1";"-1";"0";"2015-09-03";"2015-09-08"
"1889";"6728";"109";"Taille haie de cèdres";"Haie de cèdres assez haute à tailler.
Merci";"-1";"-1";"0";"2015-09-03";"2015-12-03"
"1890";"6749";"104";"Cellulaire- texto";"Apprendre à faire des textos et hangsout. ";"-1";"-1";"0";"2015-09-03";"2015-09-24"
"1891";"6846";"114";"Vélo et véhicules non motorisés";"aider à enlever la clé brisée dans le cadenas et/ou couperle cadenas- merci";"-1";"0";"0";"2015-09-04";"2015-09-30"
"1892";"2113";"88";"Tonte de chat";"Je cherche quelqu'un qui pourrait venir à la maison pour l'entretien de mon chat. J'aimerais une tonte pour le soulager de la chaleur.  Si vous avez l'expérience, contactez-moi racicotceline arrobase gmail.com . merci. ";"-1";"-1";"0";"2015-09-06";"2015-10-06"
"1893";"5840";"86";"Partenaire pour jouer aux cartes Pokémon";"Jeux de cartes Pokémon, recherche un partenaire pour jouer les weekends.";"-1";"0";"0";"2015-09-08";"2015-12-31"
"1894";"6227";"118";"Bas de pantalon noir";"Besoin de faire faire le bas de mon pantalon...";"-1";"0";"0";"2015-09-09";"2015-09-19"
"1895";"4730";"2";"Aide pour rédaction de testament";"Besoin d'aide pour démarrer la démarche de rédaction d'un testament";"-1";"-1";"0";"2015-09-10";"2015-09-30"
"1896";"2669";"2";"Service de magasinier-nière";"J'ai besoin d'un magasinier-nière pour l'achat de tubes en fibre de verre pour un projet de sculpture.";"-1";"-1";"0";"2015-09-11";"2015-12-31"
"1897";"4323";"109";"Informatique Word Press";"Utilisation de Word Press";"-1";"-1";"0";"2015-09-13";"2015-12-31"
"1898";"6729";"109";"Taille de haies";"Je chercher quelqu'un pour venir tailler mes 2 haies (haie de cèdre et haie de chèvrefeuille)avant la fin du mois d'octobre. Cette personne devra posséder tout le matériel (et les muscles !)";"-1";"-1";"0";"2015-09-18";"2015-10-31"
"1899";"6729";"109";"Taille de haies";"Je cherche quelqu'un pour tailler mes 2 haies (de cèdre et de chèvrefeuille). Il faut que la personne possède son matériel (et les muscles adéquats !)";"-1";"-1";"0";"2015-09-17";"2015-09-17"
"1900";"6919";"2";"Aide à domicile";"Je cherche une personne pour m'aider à domicile. Les tâches sont simples. Je suis en fauteuil roulant. ";"-1";"-1";"0";"2015-09-24";"2015-09-29"
"1901";"3881";"104";"pose de gradateur ";"Bonjour,
Mon gradateur (toilette)fait défaut. Tout est préparé pour la nouvelle installation si quelqu'un peut m'aider à fair le raccordement ce serait gentil. Pas long a faire,  Merci, 514-800 7643  ";"-1";"0";"0";"2015-09-20";"2015-09-28"
"1902";"3881";"104";"Besoin urgente aide installation";"tout est pret pour faire raccordement installation gradateur DSB. Merci!! 514 800 7643  Flor";"-1";"0";"0";"2015-09-20";"2015-09-30"
"1903";"3881";"104";"Urgent besoin aide ";"tout est pret pour faire raccordement installation gradateur DSB. Merci!! 514 800 7643  Flor";"-1";"-1";"0";"2015-09-20";"2015-09-27"
"1904";"6709";"109";"Déménagement vendredi le 25 septembre";"Gaétan cherche de l'aide pour déménager vendredi le 25 septembre à 18 h (secteur Belvédère Sud / McManamy).

À déménager: frigo, poêle, laveuse, sécheuse, quelques meubles (bureaux).

Appelez au 819 822-7362 (pagette). Il vous rappellera dans 15 minut";"-1";"-1";"0";"2015-09-20";"2015-09-20"
"1905";"6709";"109";"BESOIN D'AIDE: Déménagement vendredi le 25 septembre";"Je cherche de l'aide pour déménager vendredi le 25 septembre à 18 h (secteur Belvédère Sud / McManamy).

À déménager: frigo, poêle, laveuse, sécheuse, quelques meubles (bureaux).

Appelez-moi sur ma pagette et je vous rappellerai dans 15 minutes.";"-1";"-1";"0";"2015-09-21";"2015-09-26"
"1906";"5698";"115";"photographe";"jai besoins de quelqun qui est bon dans la photographie pour plusieurs choses comme des photos de couple et de moi et mon cheval. me contacter pour plus dinformation";"0";"-1";"0";"2015-09-21";"2015-11-21"
"1911";"6919";"2";"Aide simple à domicile";"Je suis un homme en fauteuil roulant. Je cherche une personne pour m'aider à domicile. Les tâches sont simples. Je suis traducteur et professeur de langues. J'habite    à Vanier. Je suis végétarien, sociable et respectueux.";"-1";"-1";"0";"2015-09-24";"2015-10-27"
"1908";"3557";"86";"coiffeuse";"Pour me faire une tresse francaise régulièrement ";"-1";"-1";"0";"2015-09-22";"2015-12-31"
"1909";"6936";"88";"Cours pour apprendre langue Kannada";"J'aimerais apprendre le Kannada comme je vais vivre à Bangalore quelques mois.";"-1";"-1";"0";"2015-10-07";"2015-10-22"
"1910";"544";"2";"TAPIS  A ENLEVER   SVP!!!!";"Retirer un tapis de mon condo 
(salon et passage)
Un grand MERCI!!!!
581 981-3902
418 914-3472";"-1";"-1";"0";"2015-09-24";"2015-10-24"
"1912";"6374";"114";"réparation sécheuse";"besoin d'aide pour réparer notre sécheuse";"-1";"0";"0";"2015-09-27";"2015-10-27"
"1913";"6127";"109";"lavage intérieur de voiture";"j'ai trois voitures à laver l'intérieur. Merci";"-1";"-1";"0";"2015-09-28";"2015-10-26"
"1914";"4308";"114";"Cuisine ( faire des gateaux maison )";"Cherche une personne qui préparerait des gâteaux maisons ( style pain, 4 quarts mais santé )
dans le quartier Villeray ou dans les alentours.
Peut se faire chez moi ou chez la personne. Seule demande particulière; avoir une très bonne hygiène de travail";"-1";"0";"0";"2015-09-28";"2015-10-28"
"1915";"4591";"109";"Aide pour désencombrement";"Je recherche de l'aide pour désencombrer un atelier, déplacer des objets et classer. Doit être en bonne forme physique et n'a pas peur de travailler! Si vous désirez augmenter vos heures en banque, c'est le bon moment! Sherb. nord. Transport dispo.";"-1";"-1";"0";"2015-09-29";"2016-01-01"
"1916";"6937";"88";"Initiation machine a coudre";"Je me suis acheté une ancienne machine a coudre Singer, mais j'ai besoin d'aide à savoir comment l'utiliser.";"-1";"0";"0";"2015-10-01";"2016-01-31"
